Date,Close/Last,Volume,Open,High,Low
08/29/2024,$169.15,13213190,$168.65,$175.42,$167.51
08/28/2024,$169.20,10581370,$171.32,$172.465,$166.20
08/27/2024,$170.55,9186041,$166.42,$170.58,$165.04
08/26/2024,$169.07,9611328,$170.38,$171.05,$167.82
08/23/2024,$171.28,12189130,$169.00,$173.29,$167.915
08/22/2024,$166.44,13546120,$172.00,$173.28,$166.06
08/21/2024,$171.44,9434811,$170.36,$173.08,$169.91
08/20/2024,$172.04,13555530,$175.40,$175.40,$169.85
08/19/2024,$175.45,11510990,$174.76,$175.45,$171.10
08/16/2024,$174.54,10709970,$173.39,$175.00,$172.25
08/15/2024,$173.96,15393530,$172.43,$175.44,$170.82
08/14/2024,$169.97,11510310,$171.88,$172.51,$167.19
08/13/2024,$172.34,15243470,$168.00,$172.45,$166.34
08/12/2024,$167.63,14727280,$166.00,$169.53,$165.54
08/09/2024,$167.12,20519410,$166.32,$167.80,$163.24
08/08/2024,$164.55,18889640,$159.27,$164.75,$155.54
08/07/2024,$155.04,22379010,$161.55,$162.65,$154.52
08/06/2024,$155.39,24528070,$150.44,$157.71,$147.72
08/05/2024,$147.95,31193150,$133.86,$150.00,$133.57
08/02/2024,$149.86,31095270,$151.25,$153.86,$146.89
08/01/2024,$158.18,21095640,$163.48,$167.665,$156.84
07/31/2024,$165.80,19860380,$163.77,$166.65,$162.07
07/30/2024,$154.54,22017960,$160.44,$161.1499,$152.55
07/29/2024,$160.01,12663080,$162.68,$163.23,$158.63
07/26/2024,$161.94,13089170,$164.30,$164.59,$159.19
07/25/2024,$160.28,25731750,$158.16,$163.40,$152.11
07/24/2024,$159.80,19536580,$165.09,$165.45,$159.59
07/23/2024,$169.82,11690670,$169.42,$171.54,$167.9666
07/22/2024,$169.35,21037200,$166.61,$170.88,$166.18
07/19/2024,$165.77,22585300,$169.17,$170.52,$165.22
07/18/2024,$171.87,52903620,$175.50,$178.69,$164.51
07/17/2024,$171.20,45052590,$175.215,$176.58,$170.51
07/16/2024,$186.04,16663310,$188.27,$189.59,$185.02
07/15/2024,$185.22,15683110,$188.68,$190.06,$184.08
07/12/2024,$187.35,19220330,$183.07,$190.38,$182.75
07/11/2024,$184.50,21584170,$193.09,$193.47,$183.01
07/10/2024,$191.05,19293520,$188.28,$191.42,$186.70
07/09/2024,$184.52,19972040,$188.09,$188.44,$182.50
07/08/2024,$186.63,22582400,$190.00,$192.80,$185.13
07/05/2024,$183.99,11372880,$184.14,$185.08,$182.30
07/03/2024,$182.49,11808740,$177.99,$182.49,$177.88
07/02/2024,$175.70,10655490,$171.13,$176.71,$171.03
07/01/2024,$172.33,10716980,$174.24,$175.30,$170.45
06/28/2024,$173.81,11216070,$172.81,$176.8199,$172.81
06/27/2024,$171.63,10864580,$173.79,$175.48,$171.15
06/26/2024,$172.07,11901500,$172.12,$173.69,$170.20
06/25/2024,$172.60,13480970,$169.95,$172.64,$169.01
06/24/2024,$167.81,19741660,$170.43,$171.42,$167.121
06/21/2024,$173.96,20271300,$172.71,$177.48,$172.21
06/20/2024,$175.38,28403220,$182.58,$183.1746,$173.50
06/18/2024,$179.69,27155150,$180.02,$184.86,$178.99
06/17/2024,$177.24,18593710,$177.84,$178.67,$173.48
06/14/2024,$172.51,9192483,$172.00,$173.64,$170.36
06/13/2024,$172.91,15591790,$172.95,$174.07,$170.51
06/12/2024,$172.98,20309500,$173.36,$176.06,$171.535
06/11/2024,$165.71,11508570,$168.18,$168.405,$163.79
06/10/2024,$168.16,12438410,$164.00,$169.84,$162.4156
06/07/2024,$164.39,14023340,$163.57,$166.1199,$161.96
06/06/2024,$162.07,14819060,$164.52,$164.70,$160.36
06/05/2024,$162.92,23192570,$158.59,$163.73,$157.95
06/04/2024,$152.47,10066740,$153.40,$153.79,$150.99
06/03/2024,$154.95,12924400,$155.12,$157.15,$152.4602
05/31/2024,$151.04,13782610,$151.48,$152.50,$147.81
05/30/2024,$152.96,9710978,$153.59,$154.05,$151.89
05/29/2024,$154.34,15779980,$156.75,$156.88,$153.21
05/28/2024,$159.41,13964360,$159.68,$160.38,$157.60
05/24/2024,$160.00,11908210,$157.20,$160.66,$156.71
05/23/2024,$157.09,20872970,$159.18,$160.7799,$155.865
05/22/2024,$156.15,13455200,$155.88,$157.23,$154.5401
05/21/2024,$153.67,7919449,$152.30,$153.99,$151.95
05/20/2024,$153.55,9261190,$151.67,$154.24,$150.82
05/17/2024,$151.68,7711247,$154.00,$154.00,$150.84
05/16/2024,$152.23,13394140,$154.10,$155.055,$152.21
05/15/2024,$155.58,14027090,$153.36,$156.00,$152.73
05/14/2024,$151.95,12316540,$146.49,$152.01,$146.25
05/13/2024,$146.41,8278732,$148.02,$148.44,$146.30
05/10/2024,$149.26,23671380,$147.22,$150.495,$146.93
05/09/2024,$142.79,8012668,$142.94,$143.35,$141.1301
05/08/2024,$143.60,10202350,$141.11,$144.26,$140.80
05/07/2024,$141.11,8682941,$141.87,$142.295,$140.51
05/06/2024,$142.83,8601573,$140.47,$142.83,$139.81
05/03/2024,$141.56,13264340,$138.90,$142.11,$138.76
05/02/2024,$136.23,9261896,$135.60,$136.74,$133.22
05/01/2024,$134.94,12573480,$137.42,$139.43,$133.21
04/30/2024,$137.34,10980630,$137.94,$139.70,$137.26
04/29/2024,$138.50,10025910,$138.00,$138.646,$135.91
04/26/2024,$138.30,9453393,$136.81,$138.7399,$135.945
04/25/2024,$136.58,18034260,$130.00,$137.84,$128.86
04/24/2024,$132.97,15558000,$136.09,$136.29,$131.54
04/23/2024,$133.43,12573760,$131.36,$133.71,$130.66
04/22/2024,$129.75,18556790,$126.75,$130.6606,$125.78
04/19/2024,$127.70,28284020,$129.37,$131.55,$126.64
04/18/2024,$132.27,39306150,$132.89,$135.13,$130.30
04/17/2024,$139.03,18823240,$141.13,$142.57,$137.3601
04/16/2024,$139.80,14218220,$137.89,$140.5399,$137.06
04/15/2024,$140.14,13458780,$145.02,$145.48,$139.8801
04/12/2024,$142.52,12024040,$145.00,$146.51,$142.15
04/11/2024,$147.20,11818760,$147.20,$147.56,$144.13
04/10/2024,$146.22,18861320,$146.63,$148.43,$145.26
04/09/2024,$145.40,18487980,$146.26,$148.1699,$142.95
04/08/2024,$142.79,16307400,$145.24,$146.00,$142.76
04/05/2024,$141.36,8263641,$140.00,$142.00,$138.92
04/04/2024,$139.66,15759510,$144.00,$146.75,$139.43
04/03/2024,$142.00,9707518,$138.58,$142.93,$138.39
04/02/2024,$140.22,9869172,$140.38,$141.04,$139.35
04/01/2024,$141.49,14222660,$137.29,$142.96,$137.05
03/28/2024,$136.05,10019360,$135.68,$136.80,$135.44
03/27/2024,$136.69,13842820,$138.86,$139.28,$135.15
03/26/2024,$138.84,10786450,$140.61,$140.96,$138.64
03/25/2024,$140.23,9922244,$140.16,$141.68,$139.26
03/22/2024,$140.54,9944135,$139.40,$141.34,$139.11
03/21/2024,$139.45,17809390,$142.55,$142.60,$139.04
03/20/2024,$136.75,12750230,$136.53,$137.31,$135.01
03/19/2024,$134.87,17341130,$135.30,$136.2731,$133.03
03/18/2024,$136.64,14732900,$140.18,$141.54,$136.61
03/15/2024,$136.98,22751210,$135.44,$137.70,$134.63
03/14/2024,$139.62,14961900,$142.61,$143.10,$139.02
03/13/2024,$142.14,12923060,$143.05,$143.23,$141.37
03/12/2024,$144.40,21218500,$144.52,$146.70,$140.57
03/11/2024,$139.02,29227110,$143.62,$144.40,$138.93
03/08/2024,$146.37,43856880,$153.90,$158.40,$144.925
03/07/2024,$149.20,34675730,$144.90,$151.60,$144.15
03/06/2024,$141.57,22292690,$138.80,$144.00,$138.6115
03/05/2024,$134.97,13694690,$137.12,$137.43,$133.73
03/04/2024,$138.26,26544610,$139.94,$141.99,$137.68
03/01/2024,$133.90,24393050,$130.13,$136.65,$130.10
02/29/2024,$128.67,9369902,$128.03,$129.1899,$127.15
02/28/2024,$127.38,6519095,$128.50,$128.58,$126.65
02/27/2024,$128.59,8851789,$130.77,$131.97,$128.59
02/26/2024,$130.64,9526723,$130.02,$131.23,$128.56
02/23/2024,$129.53,10123350,$130.50,$131.005,$127.73
02/22/2024,$129.07,17014120,$129.69,$131.48,$129.00
02/21/2024,$125.34,11578140,$124.43,$125.38,$122.91
02/20/2024,$125.33,12038780,$126.89,$127.06,$124.145
