Date,Close/Last,Volume,Open,High,Low
07/15/2024,$3.92,15155060,$3.98,$3.98,$3.91
07/12/2024,$3.99,12466250,$3.96,$4.02,$3.96
07/11/2024,$3.94,15892310,$3.935,$3.96,$3.89
07/10/2024,$3.96,15670930,$3.92,$3.96,$3.89
07/09/2024,$3.86,14469770,$3.85,$3.88,$3.84
07/08/2024,$3.89,12296150,$3.915,$3.95,$3.89
07/05/2024,$3.90,11031380,$3.91,$3.92,$3.85
07/03/2024,$3.85,7864971,$3.905,$3.92,$3.85
07/02/2024,$3.89,9675419,$3.88,$3.89,$3.84
07/01/2024,$3.89,18371460,$3.89,$3.95,$3.87
06/28/2024,$3.78,20248620,$3.74,$3.81,$3.7299
06/27/2024,$3.73,9390616,$3.73,$3.75,$3.72
06/26/2024,$3.67,15484190,$3.69,$3.70,$3.6501
06/25/2024,$3.73,10828980,$3.72,$3.75,$3.70
06/24/2024,$3.73,14016310,$3.79,$3.80,$3.71
06/21/2024,$3.68,5899160,$3.65,$3.71,$3.65
06/20/2024,$3.66,12722610,$3.64,$3.735,$3.64
06/18/2024,$3.68,10340430,$3.67,$3.7158,$3.67
06/17/2024,$3.69,8909459,$3.63,$3.69,$3.62
06/14/2024,$3.62,11197950,$3.61,$3.64,$3.57
06/13/2024,$3.71,13180450,$3.79,$3.795,$3.69
06/12/2024,$3.81,11067120,$3.83,$3.86,$3.81
06/11/2024,$3.80,7395603,$3.81,$3.82,$3.78
06/10/2024,$3.84,11273930,$3.86,$3.88,$3.84
06/07/2024,$3.91,11087560,$3.92,$3.9471,$3.90
06/06/2024,$3.95,10245880,$3.91,$3.95,$3.905
06/05/2024,$3.98,10622990,$3.95,$3.98,$3.93
06/04/2024,$3.94,7530005,$3.91,$3.94,$3.90
06/03/2024,$3.95,11084360,$3.96,$3.96,$3.90
05/31/2024,$3.90,9146794,$3.85,$3.91,$3.8401
05/30/2024,$3.85,12718570,$3.83,$3.86,$3.82
05/29/2024,$3.76,17329920,$3.76,$3.79,$3.73
05/28/2024,$3.87,10919230,$3.86,$3.88,$3.84
05/24/2024,$3.85,5758028,$3.83,$3.86,$3.82
05/23/2024,$3.85,11978470,$3.91,$3.92,$3.85
05/22/2024,$3.95,13216490,$3.89,$3.96,$3.88
05/21/2024,$3.84,11072090,$3.81,$3.8475,$3.79
05/20/2024,$3.81,12029470,$3.865,$3.87,$3.81
05/17/2024,$3.91,7001986,$3.90,$3.93,$3.88
05/16/2024,$3.88,15250320,$3.86,$3.92,$3.854
05/15/2024,$3.87,22161270,$3.88,$3.89,$3.82
05/14/2024,$3.93,30928910,$4.01,$4.02,$3.89
05/13/2024,$3.79,26004610,$3.73,$3.84,$3.72
05/10/2024,$3.72,8457608,$3.76,$3.765,$3.72
05/09/2024,$3.72,7181399,$3.72,$3.73,$3.69
05/08/2024,$3.73,7304578,$3.715,$3.75,$3.71
05/07/2024,$3.74,8536636,$3.74,$3.76,$3.704
05/06/2024,$3.72,7105942,$3.725,$3.74,$3.71
