,date,price
385,2016-07-22,8541.2
386,2016-07-25,8635.65
387,2016-07-26,8590.65
388,2016-07-27,8615.8
389,2016-07-28,8666.3
390,2016-07-29,8638.5
391,2016-08-01,8636.55
392,2016-08-02,8622.9
393,2016-08-03,8544.85
394,2016-08-04,8551.1
395,2016-08-05,8683.15
396,2016-08-08,8711.35
397,2016-08-09,8678.25
398,2016-08-10,8575.3
399,2016-08-11,8592.15
400,2016-08-12,8672.15
401,2016-08-16,8642.55
402,2016-08-17,8624.05
403,2016-08-18,8673.25
404,2016-08-19,8666.9
405,2016-08-22,8629.15
406,2016-08-23,8632.6
407,2016-08-24,8650.3
408,2016-08-25,8592.2
409,2016-08-26,8572.55
410,2016-08-29,8607.45
411,2016-08-30,8744.35
412,2016-08-31,8786.2
413,2016-09-01,8774.65
414,2016-09-02,8809.65
415,2016-09-06,8943.0
416,2016-09-07,8917.95
417,2016-09-08,8952.5
418,2016-09-09,8866.7
419,2016-09-12,8715.6
420,2016-09-14,8726.6
421,2016-09-15,8742.55
422,2016-09-16,8779.85
423,2016-09-19,8808.4
424,2016-09-20,8775.9
425,2016-09-21,8777.15
426,2016-09-22,8867.45
427,2016-09-23,8831.55
428,2016-09-26,8723.05
429,2016-09-27,8706.4
430,2016-09-28,8745.15
431,2016-09-29,8591.25
432,2016-09-30,8611.15
433,2016-10-03,8738.1
434,2016-10-04,8769.15
435,2016-10-05,8743.95
436,2016-10-06,8709.55
437,2016-10-07,8697.6
438,2016-10-10,8708.8
439,2016-10-13,8573.35
440,2016-10-14,8583.4
441,2016-10-17,8520.4
442,2016-10-18,8677.9
443,2016-10-19,8659.1
444,2016-10-20,8699.4
445,2016-10-21,8693.05
446,2016-10-24,8708.95
447,2016-10-25,8691.3
448,2016-10-26,8615.25
449,2016-10-27,8615.25
450,2016-10-28,8638.0
451,2016-10-30,8625.7
452,2016-11-01,8626.25
453,2016-11-02,8514.0
454,2016-11-03,8484.95
455,2016-11-04,8433.75
456,2016-11-07,8497.05
457,2016-11-08,8543.55
458,2016-11-09,8432.0
459,2016-11-10,8525.75
460,2016-11-11,8296.3
461,2016-11-15,8108.45
462,2016-11-16,8111.6
463,2016-11-17,8079.95
464,2016-11-18,8074.1
465,2016-11-21,7929.1
466,2016-11-22,8002.3
467,2016-11-23,8033.3
468,2016-11-24,7965.5
469,2016-11-25,8114.3
470,2016-11-28,8126.9
471,2016-11-29,8142.15
472,2016-11-30,8224.5
473,2016-12-01,8192.9
474,2016-12-02,8086.8
475,2016-12-05,8128.75
476,2016-12-06,8143.15
477,2016-12-07,8102.05
478,2016-12-08,8246.85
479,2016-12-09,8261.75
480,2016-12-12,8170.8
481,2016-12-13,8221.8
482,2016-12-14,8182.45
483,2016-12-15,8153.6
484,2016-12-16,8139.45
485,2016-12-19,8104.35
486,2016-12-20,8082.4
487,2016-12-21,8061.3
488,2016-12-22,7979.1
489,2016-12-23,7985.75
490,2016-12-26,7908.25
491,2016-12-27,8032.85
492,2016-12-28,8034.85
493,2016-12-29,8103.6
494,2016-12-30,8185.8
495,2017-01-02,8179.5
496,2017-01-03,8192.25
497,2017-01-04,8190.5
498,2017-01-05,8273.8
499,2017-01-06,8243.8
500,2017-01-09,8236.05
501,2017-01-10,8288.6
502,2017-01-11,8380.65
503,2017-01-12,8407.2
504,2017-01-13,8400.35
505,2017-01-16,8412.8
506,2017-01-17,8398.0
507,2017-01-18,8417.0
508,2017-01-19,8435.1
509,2017-01-20,8349.35
510,2017-01-23,8391.5
511,2017-01-24,8475.8
512,2017-01-25,8602.75
513,2017-01-27,8641.25
514,2017-01-30,8632.75
515,2017-01-31,8561.3
516,2017-02-01,8716.4
517,2017-02-02,8734.25
518,2017-02-03,8740.95
519,2017-02-06,8801.05
520,2017-02-07,8768.3
521,2017-02-08,8769.05
